               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026476,           0.0071677,           0.0017198,             0.99109,             0.99183,             0.98856,             0.49667,            0.035368,           0.0081203,           0.0011471,            0.006535,            0.006535,            0.006535
                  37,            0.026556,           0.0071859,           0.0018789,             0.99138,             0.99229,             0.98969,             0.49878,            0.034629,           0.0080482,           0.0011106,            0.006436,            0.006436,            0.006436
                  38,            0.026515,           0.0071882,           0.0019373,             0.99237,             0.99277,             0.99065,             0.49271,            0.034968,            0.008039,           0.0010361,            0.006337,            0.006337,            0.006337
                  39,             0.02661,           0.0070974,           0.0018819,             0.99378,             0.99501,             0.99277,             0.51202,            0.034486,           0.0079332,            0.001083,            0.006238,            0.006238,            0.006238
                  40,            0.026411,           0.0070732,           0.0020133,             0.99385,              0.9942,             0.99281,               0.512,            0.034134,           0.0080047,           0.0010586,            0.006139,            0.006139,            0.006139
                  41,            0.026335,           0.0071143,           0.0018608,             0.99403,             0.99455,             0.99391,             0.53323,            0.033344,           0.0077606,           0.0010441,             0.00604,             0.00604,             0.00604
                  42,             0.02625,            0.007072,           0.0017332,             0.99286,              0.9937,             0.99111,             0.50281,            0.034579,           0.0080445,             0.00104,            0.005941,            0.005941,            0.005941
                  43,            0.026179,           0.0072798,           0.0017793,             0.99241,             0.99328,             0.99145,             0.51216,            0.034429,           0.0080368,            0.001004,            0.005842,            0.005842,            0.005842
                  44,            0.026017,           0.0071838,           0.0017191,             0.98946,             0.98982,             0.98724,             0.50167,            0.034737,           0.0080158,           0.0010134,            0.005743,            0.005743,            0.005743
                  45,            0.026195,           0.0070659,           0.0017754,             0.99084,             0.99211,             0.99034,             0.51209,            0.034001,           0.0079661,           0.0010062,            0.005644,            0.005644,            0.005644
                  46,            0.026086,           0.0071468,           0.0017759,             0.99424,             0.99476,             0.99284,             0.51328,            0.034078,           0.0079704,          0.00099288,            0.005545,            0.005545,            0.005545
                  47,            0.025895,           0.0071253,           0.0016666,             0.99568,             0.99637,             0.99394,             0.51619,            0.033932,           0.0080001,          0.00094362,            0.005446,            0.005446,            0.005446
                  48,            0.025911,           0.0070457,           0.0016423,             0.99236,             0.99278,             0.99231,              0.5084,            0.034369,           0.0079311,          0.00093727,            0.005347,            0.005347,            0.005347
                  49,            0.026027,           0.0070244,             0.00178,              0.9924,             0.99353,             0.99087,             0.51617,            0.034121,           0.0079762,          0.00095496,            0.005248,            0.005248,            0.005248
                  50,            0.025706,           0.0071136,           0.0018711,             0.99211,             0.99288,             0.99139,             0.49576,            0.035002,           0.0080913,           0.0010023,            0.005149,            0.005149,            0.005149
                  51,            0.025527,           0.0069577,           0.0016438,             0.99519,             0.99619,             0.99285,             0.52543,            0.033301,           0.0079085,          0.00095663,             0.00505,             0.00505,             0.00505
                  52,            0.025901,           0.0071533,           0.0016373,             0.99351,             0.99464,             0.99084,             0.51801,            0.033728,           0.0079232,          0.00093051,            0.004951,            0.004951,            0.004951
                  53,            0.025409,           0.0069849,           0.0015924,             0.99431,             0.99528,             0.99275,             0.52967,            0.033069,           0.0078531,          0.00094642,            0.004852,            0.004852,            0.004852
                  54,            0.025536,           0.0069762,           0.0016091,             0.99277,             0.99299,             0.99058,             0.51074,            0.034676,           0.0080641,          0.00094553,            0.004753,            0.004753,            0.004753
                  55,            0.025481,           0.0071401,           0.0015985,              0.9951,             0.99554,             0.99304,             0.52102,            0.033544,           0.0078669,          0.00089569,            0.004654,            0.004654,            0.004654
                  56,             0.02564,            0.007077,            0.001688,             0.99255,             0.99358,             0.99098,             0.51613,            0.033793,           0.0078783,          0.00091372,            0.004555,            0.004555,            0.004555
                  57,            0.025482,           0.0069727,           0.0015495,             0.99338,             0.99413,             0.99153,             0.51013,            0.034182,           0.0080467,          0.00087449,            0.004456,            0.004456,            0.004456
                  58,            0.025244,           0.0070434,           0.0015538,             0.99403,             0.99529,              0.9915,             0.51819,             0.03391,           0.0079432,           0.0008781,            0.004357,            0.004357,            0.004357
                  59,             0.02508,           0.0069669,           0.0014624,             0.99305,             0.99371,             0.99134,             0.50963,            0.034445,           0.0079434,          0.00085807,            0.004258,            0.004258,            0.004258
                  60,            0.025298,           0.0069378,           0.0015826,             0.99084,             0.99306,             0.99081,             0.50479,            0.034271,           0.0080061,          0.00091939,            0.004159,            0.004159,            0.004159
                  61,            0.025377,           0.0069737,           0.0014227,             0.99344,             0.99426,             0.99143,             0.50974,            0.033785,           0.0078929,          0.00081494,             0.00406,             0.00406,             0.00406
                  62,            0.025477,           0.0069709,           0.0015675,             0.99333,             0.99481,             0.99304,             0.52005,            0.033738,           0.0078957,          0.00088312,            0.003961,            0.003961,            0.003961
